index_id,result_from,creationDate,daysOnZillow,isPreforeclosureAuction,lotAreaValue,latitude,unit,livingArea,streetAddress,shouldHighlight,isNonOwnerOccupied,longitude,price,isFeatured,priceChange,group_type,providerListingID,listing_sub_type,rentZestimate,newConstructionType,homeStatusForHDP,zpid,currency,isUnmappable,isShowcaseListing,bathrooms,priceReduction,state,homeStatus,bedrooms,taxAssessedValue,city,zipcode,isPremierBuilder,lotAreaUnit,priceForHDP,homeType,country,datePriceChanged,isZillowOwned,zestimate,timeOnZillow,priceSuffix
29,listing_url,2024-04-30,209,false,,42.34842,,1936,1361 W Canfield St,false,true,-83.07499,675000,false,5000,,28731866,[object Object],4517,BUILDER_SPEC,FOR_SALE,2064260820,USD,false,false,3,,MI,FOR_SALE,3,,Detroit,48208,true,,675000,CONDO,USA,1707897600000,false,655400,18138371000,
30,listing_url,2024-04-30,4,false,3920.4,42.336884,,1150,3582 Tillman St,false,true,-83.09247,250000,false,,,,[object Object],1500,,FOR_SALE,88546691,USD,false,false,1,,MI,FOR_SALE,4,49600,Detroit,48208,false,sqft,250000,SINGLE_FAMILY,USA,,false,248800,356516000,
31,listing_url,2024-04-30,91,false,3920.4,42.357983,,1248,2661 Nebraska St,false,true,-83.09931,12000,false,-8000,,,[object Object],1388,,FOR_SALE,88560172,USD,false,false,1,"$8,000 (Apr 20)",MI,FOR_SALE,3,5600,Detroit,48208,false,sqft,12000,SINGLE_FAMILY,USA,1713596400000,false,,7943171000,
32,listing_url,2024-04-30,61,false,,42.34789,,1916,4321 Lincoln St,false,true,-83.07521,675000,false,9800,,28731866,[object Object],4610,BUILDER_SPEC,FOR_SALE,2054863225,USD,false,false,3,,MI,FOR_SALE,3,,Detroit,48208,true,,675000,CONDO,USA,1709193600000,false,671700,5351171000,
33,listing_url,2024-04-30,182,false,6534,42.363125,,946,1748 Ferry Park St,false,true,-83.0888,500000,false,,,,[object Object],1700,,FOR_SALE,88405087,USD,false,false,1,,MI,FOR_SALE,1,17400,Detroit,48208,false,sqft,500000,SINGLE_FAMILY,USA,,false,,15805571000,
34,listing_url,2024-04-30,89,false,,42.348,,1916,4322 Lincoln St,false,true,-83.07486,670000,false,5000,,28731866,[object Object],4542,BUILDER_SPEC,FOR_SALE,2058139627,USD,false,false,3,,MI,FOR_SALE,3,,Detroit,48208,true,,670000,CONDO,USA,1709020800000,false,654300,7770371000,
35,listing_url,2024-04-30,312,false,,42.35401,Unit 7,1592,5220 Avery St UNIT 7,false,true,-83.08195,556500,false,,,,[object Object],3717,,FOR_SALE,2056977261,USD,false,false,3,,MI,FOR_SALE,3,,Detroit,48208,false,,556500,TOWNHOUSE,USA,,false,541800,27037571000,
36,listing_url,2024-04-30,89,false,,42.353645,# 9,1215,5216 Avery St #9,false,true,-83.08205,398500,false,,,,[object Object],2716,,FOR_SALE,2052986954,USD,false,false,2,,MI,FOR_SALE,2,,Detroit,48208,false,,398500,TOWNHOUSE,USA,,false,394900,7770371000,
37,listing_url,2024-04-30,4,false,0.4,42.33853,,,4208 McKinley St,false,true,-83.09978,11999,false,-1,,,[object Object],1350,,FOR_SALE,88748905,USD,false,false,,$1 (Mar 13),MI,FOR_SALE,,400,Detroit,48208,false,acres,11999,LOT,USA,1710313200000,false,,353815000,
38,listing_url,2024-04-30,4,false,1742.4,42.347168,,,1752 W Canfield St,false,true,-83.08,9000,false,,,,[object Object],1350,,FOR_SALE,245781398,USD,false,false,,,MI,FOR_SALE,,,Detroit,48208,false,sqft,9000,LOT,USA,,false,,353815000,
39,listing_url,2024-04-30,53,false,,42.353264,# Q443JG,1331,"Aspen at Avery Place Plan, Avery Place",false,true,-83.08248,359590,false,15500,BUILDER_COMMUNITY,29552886,[object Object],1849,BUILDER_PLAN,FOR_SALE,2053935271,USD,false,false,2,,MI,FOR_SALE,2,,Detroit,48208,true,,359590,TOWNHOUSE,USA,1710918000000,false,348600,4582789000,+
40,listing_url,2024-04-30,69,false,,42.346146,# 4,1350,4130 Trumbull St #4,false,true,-83.0749,419900,false,,,,[object Object],2838,,FOR_SALE,331229734,USD,false,false,2,,MI,FOR_SALE,2,1400,Detroit,48208,false,,419900,CONDO,USA,,false,413900,6042371000,
41,listing_url,2024-04-30,4,false,6534,42.339657,,,3545 14th St,false,true,-83.08167,15000,false,,,,[object Object],1374,,FOR_SALE,88388948,USD,false,false,,,MI,FOR_SALE,,1000,Detroit,48208,false,sqft,15000,LOT,USA,,false,,353802000,
