index_id ,result_from ,creationDate ,daysOnZillow ,isPreforeclosureAuction ,lotAreaValue ,latitude  ,unit   ,livingArea ,streetAddress             ,shouldHighlight ,isNonOwnerOccupied ,longitude  ,price   ,isFeatured ,priceChange ,listing_sub_type ,rentZestimate ,newConstructionType         ,homeStatusForHDP ,zpid       ,currency ,isUnmappable ,isShowcaseListing ,bathrooms ,open_house_info ,priceReduction     ,state ,homeStatus ,openHouse   ,bedrooms ,taxAssessedValue ,city    ,zipcode ,isPremierBuilder ,lotAreaUnit ,priceForHDP ,homeType      ,country ,datePriceChanged ,isZillowOwned ,zestimate ,timeOnZillow
      22 ,listing_url ,2024-04-30   ,          12 ,false                   ,   5797.836  ,29.683743 ,       ,      1379 ,3433 Bacon St             ,false           ,true               ,-95.3768   , 110000 ,false      ,            ,[object Object]  ,         1761 ,                            ,FOR_SALE         ,  27999424 ,USD      ,false        ,false             ,        2 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          173827 ,Houston ,  77021 ,false            ,sqft        ,     110000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   102100 ,  1079509000
      23 ,listing_url ,2024-04-30   ,          83 ,false                   ,   5148.792  ,29.689707 ,       ,      1050 ,6825 England St           ,false           ,true               ,-95.357666 , 229900 ,false      ,            ,[object Object]  ,         1599 ,                            ,FOR_SALE         ,  27779470 ,USD      ,false        ,false             ,        2 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          174348 ,Houston ,  77021 ,false            ,sqft        ,     229900 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   210300 ,  7230973000
      24 ,listing_url ,2024-04-30   ,           7 ,false                   ,   7200.468  ,29.700447 ,       ,      1672 ,4007 Porter St            ,false           ,true               ,-95.35648  , 135000 ,false      ,            ,[object Object]  ,         1959 ,                            ,FOR_SALE         ,  27935608 ,USD      ,false        ,false             ,        2 ,                ,                   ,TX    ,FOR_SALE   ,            ,       4 ,          184546 ,Houston ,  77021 ,false            ,sqft        ,     135000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   134100 ,   619485000
      25 ,listing_url ,2024-04-30   ,           6 ,false                   ,   5000.688  ,29.688091 ,       ,       871 ,3446 Mount Pleasant St    ,false           ,true               ,-95.374725 , 137300 ,false      ,            ,[object Object]  ,         1314 ,                            ,FOR_SALE         ,  27922183 ,USD      ,false        ,false             ,        1 ,                ,                   ,TX    ,FOR_SALE   ,            ,       2 ,          134693 ,Houston ,  77021 ,false            ,sqft        ,     137300 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   133100 ,   518558000
      26 ,listing_url ,2024-04-30   ,          18 ,false                   ,   5148.792  ,29.689404 ,       ,       956 ,6810 Eastwood St          ,false           ,true               ,-95.35474  , 175000 ,false      ,            ,[object Object]  ,         1569 ,                            ,FOR_SALE         ,  27779431 ,USD      ,false        ,false             ,        2 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          141496 ,Houston ,  77021 ,false            ,sqft        ,     175000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   161300 ,  1556957000
      27 ,listing_url ,2024-04-30   ,           2 ,false                   ,   1902      ,29.689081 ,       ,      1794 ,3608 Amos St              ,false           ,true               ,-95.369576 , 379900 ,false      ,400         ,[object Object]  ,         2707 ,BUILDER_SPEC                ,FOR_SALE         ,2056046029 ,USD      ,false        ,false             ,        4 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,                 ,Houston ,  77021 ,false            ,sqft        ,     379900 ,SINGLE_FAMILY ,USA     ,   1708848000000 ,false         ,   378700 ,   241405000
      28 ,listing_url ,2024-04-30   ,          68 ,false                   ,   5000      ,29.68583  ,       ,      2340 ,3655 Seabrook St          ,false           ,true               ,-95.36887  , 239000 ,false      ,            ,[object Object]  ,         1350 ,                            ,FOR_SALE         ,  27921871 ,USD      ,false        ,false             ,        1 ,                ,                   ,TX    ,FOR_SALE   ,            ,       2 ,          166095 ,Houston ,  77021 ,false            ,sqft        ,     239000 ,MULTI_FAMILY  ,USA     ,                 ,false         ,   218400 ,  5882818000
      29 ,listing_url ,2024-04-30   ,          25 ,false                   ,   2500      ,29.685911 ,       ,      1827 ,3538 Noah St              ,false           ,true               ,-95.373055 , 329000 ,false      ,-15900      ,[object Object]  ,         2620 ,                            ,FOR_SALE         , 305346158 ,USD      ,false        ,false             ,        4 ,                ,"$15,900 (Mar 20)" ,TX    ,FOR_SALE   ,            ,       3 ,          359296 ,Houston ,  77021 ,false            ,sqft        ,     329000 ,SINGLE_FAMILY ,USA     ,   1710918000000 ,false         ,   314400 ,  2183261000
      30 ,listing_url ,2024-04-30   ,         155 ,false                   ,   7370.352  ,29.686106 ,       ,      2980 ,6903 Weston St            ,false           ,true               ,-95.348045 , 240000 ,false      ,-10000      ,[object Object]  ,         2392 ,                            ,FOR_SALE         ,  27952006 ,USD      ,false        ,false             ,        2 ,                ,                   ,TX    ,FOR_SALE   ,            ,       4 ,          135286 ,Houston ,  77021 ,false            ,sqft        ,     240000 ,SINGLE_FAMILY ,USA     ,   1701158400000 ,false         ,   215700 , 13417561000
      31 ,listing_url ,2024-04-30   ,         218 ,false                   ,   2944.656  ,29.706188 ,       ,      2512 ,6203 Sedalia St           ,false           ,true               ,-95.37402  , 469999 ,false      ,-17901      ,[object Object]  ,         3316 ,                            ,FOR_SALE         , 126252907 ,USD      ,false        ,false             ,        3 ,                ,"$17,901 (Feb 19)" ,TX    ,FOR_SALE   ,            ,       3 ,          389888 ,Houston ,  77021 ,false            ,sqft        ,     469999 ,SINGLE_FAMILY ,USA     ,   1708329600000 ,false         ,          , 18897438000
      32 ,listing_url ,2024-04-30   ,           3 ,false                   ,   2057      ,29.69844  ,       ,      2310 ,3524 Luca St              ,false           ,true               ,-95.36735  , 449000 ,false      ,            ,[object Object]  ,         2984 ,                            ,FOR_SALE         , 338063896 ,USD      ,false        ,false             ,        4 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          298402 ,Houston ,  77021 ,false            ,sqft        ,     449000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   445700 ,   318619000
      33 ,listing_url ,2024-04-30   ,         195 ,false                   ,   5000.688  ,29.688812 ,# A    ,      2000 ,3531 Corder St #A         ,false           ,true               ,-95.37197  , 450000 ,false      ,            ,[object Object]  ,         2900 ,BUILDER_SPEC                ,FOR_SALE         ,2054901598 ,USD      ,false        ,false             ,        4 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,                 ,Houston ,  77021 ,false            ,sqft        ,     450000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   441600 , 16871851000
      34 ,listing_url ,2024-04-30   ,          15 ,false                   ,   1785.96   ,29.709995 ,Unit B ,      2122 ,2441 Charleston St UNIT B ,false           ,true               ,-95.379036 , 459990 ,false      ,            ,[object Object]  ,         2899 ,                            ,FOR_SALE         , 123232190 ,USD      ,false        ,false             ,        4 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          421448 ,Houston ,  77021 ,false            ,sqft        ,     459990 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   445800 ,  1328951000
      35 ,listing_url ,2024-04-30   ,          26 ,false                   ,   1512      ,29.698263 ,# B    ,      1755 ,3403 Daphne St #B         ,false           ,true               ,-95.37098  , 377500 ,false      ,            ,[object Object]  ,         2749 ,                            ,FOR_SALE         , 338063831 ,USD      ,false        ,true              ,        4 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          372672 ,Houston ,  77021 ,false            ,sqft        ,     377500 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   363900 ,  2258702000
      36 ,listing_url ,2024-04-30   ,          57 ,false                   ,   2574.396  ,29.68686  ,       ,      1932 ,7116 Saint Augustine St   ,false           ,true               ,-95.3611   , 365000 ,false      ,-10000      ,[object Object]  ,         2800 ,BUILDER_SPEC                ,FOR_SALE         , 339419847 ,USD      ,false        ,false             ,        3 ,                ,"$10,000 (Apr 26)" ,TX    ,FOR_SALE   ,            ,       3 ,          273387 ,Houston ,  77021 ,false            ,sqft        ,     365000 ,SINGLE_FAMILY ,USA     ,   1714114800000 ,false         ,          ,  4996807000
      37 ,listing_url ,2024-04-30   ,          55 ,false                   ,   2700      ,29.686296 ,       ,      1748 ,3504 Noah St              ,false           ,true               ,-95.37411  , 369900 ,false      ,            ,[object Object]  ,         2500 ,BUILDER_SPEC                ,FOR_SALE         , 343784469 ,USD      ,false        ,false             ,        3 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,                 ,Houston ,  77021 ,false            ,sqft        ,     369900 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   369200 ,  4833919000
      38 ,listing_url ,2024-04-30   ,          28 ,false                   ,   2374.02   ,29.687954 ,       ,      1769 ,3729 Dreyfus St           ,false           ,true               ,-95.36712  , 349000 ,false      ,-990        ,[object Object]  ,         2585 ,BUILDER_SPEC                ,FOR_SALE         ,2056076514 ,USD      ,false        ,false             ,        3 ,                ,$990 (Apr 2)       ,TX    ,FOR_SALE   ,            ,       3 ,                 ,Houston ,  77021 ,false            ,sqft        ,     349000 ,SINGLE_FAMILY ,USA     ,   1712041200000 ,false         ,   347400 ,  2443532000
      39 ,listing_url ,2024-04-30   ,          59 ,false                   ,   5000.688  ,29.687868 ,       ,      1504 ,6834 New York St          ,false           ,true               ,-95.35276  , 250000 ,false      ,-9999       ,[object Object]  ,         1699 ,                            ,FOR_SALE         ,  27831580 ,USD      ,false        ,false             ,        2 ,                ,"$9,999 (Apr 4)"   ,TX    ,FOR_SALE   ,            ,       4 ,          194541 ,Houston ,  77021 ,false            ,sqft        ,     250000 ,SINGLE_FAMILY ,USA     ,   1712214000000 ,false         ,   229800 ,  5182772000
      40 ,listing_url ,2024-04-30   ,          13 ,false                   ,   4791.6    ,29.68627  ,       ,      1453 ,6921 New York St          ,false           ,true               ,-95.35288  , 309000 ,false      ,            ,[object Object]  ,         2100 ,BUILDER_SPEC                ,FOR_SALE         , 347970606 ,USD      ,false        ,false             ,        3 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,                 ,Houston ,  77021 ,false            ,sqft        ,     309000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   307600 ,  1127248000
      41 ,listing_url ,2024-04-30   ,          90 ,false                   ,   5000.688  ,29.682446 ,       ,      1164 ,3846 Lydia St             ,false           ,true               ,-95.36674  , 170000 ,false      ,-19999      ,[object Object]  ,         1575 ,                            ,FOR_SALE         ,  27921880 ,USD      ,false        ,false             ,        2 ,                ,"$19,999 (Mar 18)" ,TX    ,FOR_SALE   ,            ,       3 ,          164436 ,Houston ,  77021 ,false            ,sqft        ,     170000 ,SINGLE_FAMILY ,USA     ,   1710745200000 ,false         ,          ,  7807917000
