index_id ,result_from ,creationDate ,daysOnZillow ,isPreforeclosureAuction ,lotAreaValue            ,latitude  ,livingArea ,streetAddress         ,shouldHighlight ,isNonOwnerOccupied ,longitude  ,price   ,isFeatured ,priceChange ,listing_sub_type ,rentZestimate ,newConstructionType ,homeStatusForHDP ,zpid      ,currency ,isUnmappable ,isShowcaseListing ,bathrooms ,open_house_info ,priceReduction      ,state ,homeStatus ,openHouse   ,bedrooms ,taxAssessedValue ,city     ,zipcode ,isPremierBuilder ,lotAreaUnit ,priceForHDP ,homeType      ,country ,datePriceChanged ,isZillowOwned ,zestimate ,timeOnZillow
      23 ,listing_url ,2024-04-30   ,          77 ,false                   , 7930                   ,29.694807 ,      4911 ,4703 Pine St          ,false           ,true               ,-95.46001  ,1488000 ,false      ,-11000      ,[object Object]  ,         8506 ,BUILDER_SPEC        ,FOR_SALE         , 97635063 ,USD      ,false        ,false             ,        6 ,[object Object] ,"$11,000 (Apr 18)"  ,TX    ,FOR_SALE   ,Sat. 12-4pm ,       6 ,          455301 ,Bellaire ,  77401 ,false            ,sqft        ,    1488000 ,SINGLE_FAMILY ,USA     ,   1713423600000 ,false         ,  1403800 ,  6662663000
      24 ,listing_url ,2024-04-30   ,          58 ,false                   , 5127.012               ,29.69167  ,      3656 ,4328 Lafayette St     ,false           ,true               ,-95.448586 ,1040000 ,false      ,-50000      ,[object Object]  ,         6568 ,                    ,FOR_SALE         , 27836685 ,USD      ,false        ,false             ,        4 ,                ,"$50,000 (Apr 1)"   ,TX    ,FOR_SALE   ,            ,       4 ,         1053428 ,Bellaire ,  77401 ,false            ,sqft        ,    1040000 ,SINGLE_FAMILY ,USA     ,   1711954800000 ,false         ,   993300 ,  5084881000
      25 ,listing_url ,2024-04-30   ,           3 ,false                   , 5832.684               ,29.700802 ,           ,4300 Lula St          ,false           ,true               ,-95.44758  , 300000 ,false      ,            ,[object Object]  ,         2100 ,                    ,FOR_SALE         , 27836154 ,USD      ,false        ,false             ,        0 ,                ,                    ,TX    ,FOR_SALE   ,            ,         ,          237673 ,Bellaire ,  77401 ,false            ,sqft        ,     300000 ,LOT           ,USA     ,                 ,false         ,   357600 ,   278182000
      26 ,listing_url ,2024-04-30   ,          92 ,false                   ,10585                   ,29.698606 ,      1974 ,5610 Evergreen St     ,false           ,true               ,-95.48179  , 765000 ,false      ,            ,[object Object]  ,         4639 ,                    ,FOR_SALE         , 27967608 ,USD      ,false        ,false             ,        3 ,                ,                    ,TX    ,FOR_SALE   ,            ,       4 ,          682929 ,Bellaire ,  77401 ,false            ,sqft        ,     765000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   711900 ,  7958717000
      27 ,listing_url ,2024-04-30   ,         111 ,false                   , 7344.216               ,29.690605 ,      4476 ,5202 Mimosa Dr        ,false           ,true               ,-95.472336 ,1695000 ,false      ,-100000     ,[object Object]  ,        11068 ,                    ,FOR_SALE         , 27967653 ,USD      ,false        ,false             ,        6 ,                ,"$100,000 (Apr 8)"  ,TX    ,FOR_SALE   ,            ,       5 ,         1401560 ,Bellaire ,  77401 ,false            ,sqft        ,    1695000 ,SINGLE_FAMILY ,USA     ,   1712559600000 ,false         ,  1584700 ,  9593651000
      28 ,listing_url ,2024-04-30   ,          50 ,false                   , 8772.984               ,29.691614 ,      4279 ,4604 Maple St         ,false           ,true               ,-95.45593  ,1399000 ,false      ,-51000      ,[object Object]  ,         8463 ,                    ,FOR_SALE         , 27945861 ,USD      ,false        ,false             ,        4 ,                ,"$51,000 (Mar 11)"  ,TX    ,FOR_SALE   ,            ,       4 ,         1798115 ,Bellaire ,  77401 ,false            ,sqft        ,    1399000 ,SINGLE_FAMILY ,USA     ,   1710140400000 ,false         ,  1330700 ,  4338139000
      29 ,listing_url ,2024-04-30   ,         223 ,false                   , 8820.9                 ,29.69984  ,      5504 ,536 S 3rd St          ,false           ,true               ,-95.467094 ,1475000 ,false      ,-120000     ,[object Object]  ,         8275 ,                    ,FOR_SALE         , 27906323 ,USD      ,false        ,false             ,        4 ,                ,"$120,000 (Feb 5)"  ,TX    ,FOR_SALE   ,            ,       4 ,         1300861 ,Bellaire ,  77401 ,false            ,sqft        ,    1475000 ,SINGLE_FAMILY ,USA     ,   1707120000000 ,false         ,  1361500 , 19295671000
      30 ,listing_url ,2024-04-30   ,          18 ,false                   ,    0.2686              ,29.695066 ,      2042 ,7807 S Rice Ave       ,false           ,true               ,-95.46744  , 595000 ,false      ,            ,[object Object]  ,         3911 ,                    ,FOR_SALE         , 27930371 ,USD      ,false        ,false             ,        2 ,                ,                    ,TX    ,FOR_SALE   ,            ,       3 ,          567370 ,Bellaire ,  77401 ,false            ,acres       ,     595000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   572000 ,  1567698000
      31 ,listing_url ,2024-04-30   ,          38 ,false                   , 6499.152               ,29.707254 ,      1089 ,4806 Cedar St         ,false           ,true               ,-95.46289  , 495000 ,false      ,            ,[object Object]  ,         1984 ,                    ,FOR_SALE         , 27744492 ,USD      ,false        ,false             ,        1 ,                ,                    ,TX    ,FOR_SALE   ,            ,       2 ,          402532 ,Bellaire ,  77401 ,false            ,sqft        ,     495000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   463900 ,  3316316000
      32 ,listing_url ,2024-04-30   ,          29 ,false                   , 8502.912               ,29.699177 ,      4491 ,5209 Grand Lake St    ,false           ,true               ,-95.47143  ,1200000 ,false      ,            ,[object Object]  ,         6551 ,                    ,FOR_SALE         , 27930036 ,USD      ,false        ,false             ,        4 ,                ,                    ,TX    ,FOR_SALE   ,            ,       4 ,         1020394 ,Bellaire ,  77401 ,false            ,sqft        ,    1200000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,  1145400 ,  2535608000
      33 ,listing_url ,2024-04-30   ,          55 ,false                   , 8123.94                ,29.713955 ,      5265 ,809 Jaquet Dr         ,false           ,true               ,-95.46126  ,1700000 ,false      ,-50000      ,[object Object]  ,        10526 ,                    ,FOR_SALE         , 27961103 ,USD      ,false        ,false             ,        6 ,                ,"$50,000 (Apr 2)"   ,TX    ,FOR_SALE   ,            ,       4 ,         1934823 ,Bellaire ,  77401 ,false            ,sqft        ,    1700000 ,SINGLE_FAMILY ,USA     ,   1712041200000 ,false         ,  1603900 ,  4826347000
      34 ,listing_url ,2024-04-30   ,         224 ,false                   ,    0.5739              ,29.70538  ,      7537 ,4553 Bellaire Blvd    ,false           ,true               ,-95.4553   ,3550000 ,false      ,-245000     ,[object Object]  ,        19501 ,                    ,FOR_SALE         , 80573565 ,USD      ,false        ,false             ,        7 ,                ,"$245,000 (Mar 15)" ,TX    ,FOR_SALE   ,            ,       5 ,         2226683 ,Bellaire ,  77401 ,false            ,acres       ,    3550000 ,SINGLE_FAMILY ,USA     ,   1710486000000 ,false         ,  3209200 , 19356498000
      35 ,listing_url ,2024-04-30   ,          29 ,false                   , 7871.292               ,29.69377  ,      1196 ,4300 Cynthia St       ,false           ,true               ,-95.44742  , 535000 ,false      ,280100      ,[object Object]  ,         1949 ,                    ,FOR_SALE         , 27836567 ,USD      ,false        ,false             ,        1 ,                ,                    ,TX    ,FOR_SALE   ,            ,       2 ,          345000 ,Bellaire ,  77401 ,false            ,sqft        ,     535000 ,SINGLE_FAMILY ,USA     ,   1711954800000 ,false         ,   507900 ,  2521844000
      36 ,listing_url ,2024-04-30   ,          66 ,false                   , 8254.62                ,29.719122 ,      1643 ,5010 Mayfair St       ,false           ,true               ,-95.46723  , 629000 ,false      ,            ,[object Object]  ,         3816 ,                    ,FOR_SALE         , 27959077 ,USD      ,false        ,false             ,        2 ,                ,                    ,TX    ,FOR_SALE   ,            ,       3 ,          434967 ,Bellaire ,  77401 ,false            ,sqft        ,     629000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   588300 ,  5727865000
      37 ,listing_url ,2024-04-30   ,          20 ,false                   , 9300.06                ,29.710873 ,      1041 ,5000 Beech St         ,false           ,true               ,-95.46707  , 530000 ,false      ,            ,[object Object]  ,         1784 ,                    ,FOR_SALE         , 27744765 ,USD      ,false        ,false             ,        1 ,                ,                    ,TX    ,FOR_SALE   ,            ,       2 ,          471405 ,Bellaire ,  77401 ,false            ,sqft        ,     530000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   504000 ,  1812488000
      38 ,listing_url ,2024-04-30   ,          15 ,false                   , 7000.092               ,29.708597 ,      1242 ,5217 Locust St        ,false           ,true               ,-95.4719   , 595000 ,false      ,            ,[object Object]  ,         1914 ,                    ,FOR_SALE         , 27744957 ,USD      ,false        ,false             ,        1 ,                ,                    ,TX    ,FOR_SALE   ,            ,       3 ,          412319 ,Bellaire ,  77401 ,false            ,sqft        ,     595000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   575600 ,  1306204000
      39 ,listing_url ,2024-04-30   ,         128 ,false                   ,    0.256               ,29.704233 ,      5247 ,4815 Linden St        ,false           ,true               ,-95.46341  ,1595000 ,false      ,-75000      ,[object Object]  ,        10027 ,                    ,FOR_SALE         , 68406859 ,USD      ,false        ,false             ,        7 ,                ,"$75,000 (Apr 21)"  ,TX    ,FOR_SALE   ,            ,       4 ,         1709805 ,Bellaire ,  77401 ,false            ,acres       ,    1595000 ,SINGLE_FAMILY ,USA     ,   1713682800000 ,false         ,  1480000 , 11132716000
      40 ,listing_url ,2024-04-30   ,          61 ,false                   ,10399.95                ,29.692327 ,      2184 ,5004 Holt St          ,false           ,true               ,-95.46699  , 859000 ,false      ,            ,[object Object]  ,         5217 ,                    ,FOR_SALE         , 27954283 ,USD      ,false        ,false             ,        2 ,                ,                    ,TX    ,FOR_SALE   ,            ,       3 ,          613390 ,Bellaire ,  77401 ,false            ,sqft        ,     859000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   801000 ,  5302027000
      41 ,listing_url ,2024-04-30   ,           6 ,false                   ,10798.524               ,29.70905  ,      1243 ,5006 Locust St        ,false           ,true               ,-95.46752  , 999000 ,false      ,            ,[object Object]  ,         2056 ,                    ,FOR_SALE         , 27744786 ,USD      ,false        ,false             ,        2 ,                ,                    ,TX    ,FOR_SALE   ,            ,       3 ,          450512 ,Bellaire ,  77401 ,false            ,sqft        ,     999000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,  1000800 ,   526790000
