index_id ,result_from ,creationDate ,unit   ,homeStatusForHDP ,zpid       ,priceForHDP ,zipcode ,bathrooms ,state ,country ,homeType      ,streetAddress           ,isNonOwnerOccupied ,isFeatured ,latitude  ,daysOnZillow ,city    ,isUnmappable ,open_house_info ,isPremierBuilder ,longitude  ,listing_sub_type ,price  ,bedrooms ,lotAreaUnit ,livingArea ,shouldHighlight ,isPreforeclosureAuction ,homeStatus ,lotAreaValue       ,isZillowOwned ,isShowcaseListing ,openHouse  ,currency
      25 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2063220656 ,     499999 ,N9B2L1  ,        3 ,ON    ,CAN     ,SINGLE_FAMILY ,534 Josephine Ave       ,true               ,false      ,42.30772  ,-1           ,Windsor ,false        ,                ,false            ,-83.05729  ,[object Object]  ,499999 ,       7 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      26 ,listing_url ,2024-04-30   ,# 1552 ,FOR_SALE         , 346258335 ,     599000 ,N9B3P1  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,1554 Curry Ave #1552    ,true               ,false      ,          ,-1           ,Windsor ,false        ,                ,false            ,           ,[object Object]  ,599000 ,       3 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      27 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 348187689 ,     599900 ,N9B2B6  ,        3 ,ON    ,CAN     ,SINGLE_FAMILY ,395 Curry Ave           ,true               ,false      ,42.31045  ,-1           ,Windsor ,false        ,                ,false            ,-83.05561  ,[object Object]  ,599900 ,       7 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      28 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2065525138 ,     389900 ,N9B2J4  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,1021 Campbell Ave       ,true               ,false      ,42.30086  ,-1           ,Windsor ,false        ,                ,false            ,-83.05227  ,[object Object]  ,389900 ,       5 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      29 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 347239573 ,     299999 ,N9B2K9  ,        1 ,ON    ,CAN     ,SINGLE_FAMILY ,371 Josephine Ave       ,true               ,false      ,          ,-1           ,Windsor ,false        ,                ,false            ,           ,[object Object]  ,299999 ,       4 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      30 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2064329093 ,     549000 ,N9B2A8  ,        3 ,ON    ,CAN     ,SINGLE_FAMILY ,1251 McKay Ave          ,true               ,false      ,42.298733 ,-1           ,Windsor ,false        ,                ,false            ,-83.046936 ,[object Object]  ,549000 ,       6 ,sqft        ,           ,false           ,false                   ,FOR_SALE   ,   0               ,false         ,false             ,           ,CAD
      31 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2071043886 ,     399900 ,N9B2H6  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,771 Campbell Ave        ,true               ,false      ,42.30514  ,-1           ,Windsor ,false        ,                ,false            ,-83.05501  ,[object Object]  ,399900 ,       7 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      32 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 347048689 ,     379000 ,N9B3C5  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,962 Merritt Dr          ,true               ,false      ,42.29989  ,-1           ,Windsor ,false        ,                ,false            ,-83.05726  ,[object Object]  ,379000 ,       3 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      33 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2067419155 ,     449000 ,N9B1Z7  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,467 McKay Ave           ,true               ,false      ,42.309834 ,-1           ,Windsor ,false        ,                ,false            ,-83.05398  ,[object Object]  ,449000 ,       4 ,sqft        ,      1286 ,false           ,false                   ,FOR_SALE   ,3005.6400000000003 ,false         ,false             ,           ,CAD
      34 ,listing_url ,2024-04-30   ,# 1546 ,FOR_SALE         , 348526373 ,     599000 ,N9B3P1  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,1548 Curry Ave #1546    ,true               ,false      ,42.294098 ,-1           ,Windsor ,false        ,                ,false            ,-83.04323  ,[object Object]  ,599000 ,       3 ,            ,      1343 ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      35 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2060828933 ,     469900 ,N9B2S2  ,        1 ,ON    ,CAN     ,SINGLE_FAMILY ,1081 Rankin Ave         ,true               ,false      ,42.298637 ,-1           ,Windsor ,false        ,                ,false            ,-83.055695 ,[object Object]  ,469900 ,       3 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      36 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2076524367 ,     519000 ,N9B2R7  ,        3 ,ON    ,CAN     ,SINGLE_FAMILY ,392 Rankin Ave          ,true               ,false      ,42.308533 ,-1           ,Windsor ,false        ,                ,false            ,-83.061226 ,[object Object]  ,519000 ,       6 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      37 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2059514722 ,     329999 ,N9B2R6  ,        1 ,ON    ,CAN     ,SINGLE_FAMILY ,337 Rankin Ave          ,true               ,false      ,42.30948  ,-1           ,Windsor ,false        ,                ,false            ,-83.06264  ,[object Object]  ,329999 ,       3 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      38 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 345458368 ,     699900 ,N9B3V5  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,2211 California Ave     ,true               ,false      ,          ,-1           ,Windsor ,false        ,                ,false            ,           ,[object Object]  ,699900 ,       5 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      39 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2060433892 ,     399999 ,N9B1Z2  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,637 Cameron Ave         ,true               ,false      ,42.308224 ,-1           ,Windsor ,false        ,                ,false            ,-83.05177  ,[object Object]  ,399999 ,       3 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      40 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2066444516 ,     499000 ,N9B2H4  ,        3 ,ON    ,CAN     ,SINGLE_FAMILY ,524 Campbell Ave        ,true               ,false      ,42.308193 ,-1           ,Windsor ,false        ,                ,false            ,-83.05639  ,[object Object]  ,499000 ,       7 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      41 ,listing_url ,2024-04-30   ,# 693  ,FOR_SALE         ,2053349599 ,     639900 ,N9B2N6  ,        2 ,ON    ,CAN     ,MULTI_FAMILY  ,695 Partington Ave #693 ,true               ,false      ,42.305134 ,-1           ,Windsor ,false        ,                ,false            ,-83.05839  ,[object Object]  ,639900 ,       7 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
